"Company.x","Address","Cost_Normal","Company.y","Cost_Premium","lon","lat","geoAddress"
"Energy To Go","2 Shirley St Winthrop MA 02152",3.59,"Energy To Go",4.59,-70.9791527,42.382895,"2 shirley st, winthrop, ma 02152, usa"
"Sunoco","251 Lee Burbank Hwy Revere MA 02151",3.65,"Sunoco",4.49,-71.0049475,42.4012814,"251 lee burbank hwy, revere, ma 02151, usa"
"Premier Petrol","979 Broadway Chelsea MA 02150",3.59,NA,NA,-71.0194113,42.4019983,"979 broadway, chelsea, ma 02150, usa"
"Al Prime Energy","655 Revere Beach Pkwy Revere MA 02151",3.29,"Al Prime Energy",4.15,-71.0090278,42.4036107,"655 revere beach pkwy, revere, ma 02151, usa"
"7-eleven","1781 N Shore Rd Revere MA 02151",3.35,"7-eleven",4.17,-70.9974948,42.401357,"1781 n shore rd, revere, ma 02151, usa"
"Marathon","251 Everett Ave Chelsea MA 02150",3.33,"Marathon",4.17,-71.0402865,42.3989322,"251 everett ave, chelsea, ma 02150, usa"
"Stadium Gas","35 Everett Ave Everett MA 02149",3.49,"Stadium Gas",4.89,-71.041824,42.4014494,"35 everett ave, everett, ma 02149, usa"
"A Plus Mini Market","1707 Revere Beach Pkwy Everett MA 02149",3.35,"A Plus Mini Market",4.21,-71.0430213,42.4022383,"1707 revere beach pkwy, everett, ma 02149, usa"
"Gulf","485 Broadway Revere MA 02151",3.29,NA,NA,-71.010725,42.4119694,"485 broadway, revere, ma 02151, usa"
"Revere Auto Service","500 Broadway Revere MA 02151",3.49,NA,NA,-71.0113629,42.4121823,"500 broadway, revere, ma 02151, usa"
"Sunoco","254 Broadway Somerville MA 02145",3.99,NA,NA,-71.090748,42.3905466,"254 broadway, somerville, ma 02145, usa"
"Citgo","318 Broadway Everett MA 02149",3.99,"Citgo",4.79,-71.0365875,42.3915232,"318 broadway, chelsea, ma 02150, usa"
"7-eleven","1894 Revere Beach Pkwy Everett MA 02149",3.35,"7-eleven",4.15,-71.0502643,42.4024386,"1894 revere beach pkwy, everett, ma 02149, usa"
"Super Petro Everett","356 Broadway Everett MA 02149",3.89,NA,NA,-71.035771,42.3918455,"356 broadway, chelsea, ma 02150, usa"
"Xtra Mart","360 Medford St Somerville MA 02145",3.65,"Xtra Mart",4.55,-71.0970617,42.3888038,"360 medford st, somerville, ma 02145, usa"
"One Stop Services","146 Main St Everett MA 02149",3.69,NA,NA,-71.0620686,42.4058374,"146 main st, everett, ma 02149, usa"
"Best Of Boston","4334 Washington St Roslindale MA 02131",3.39,NA,NA,-71.1310885,42.2833662,"4334 washington st, roslindale, ma 02131, usa"
